experiment,repetition,sampleIndex,raw,filtered
6,1,568,362,362
6,1,569,364,364
6,1,570,364,363
6,1,571,362,363
6,1,572,362,364
6,1,573,367,365
6,1,574,367,367
6,1,575,368,368
6,1,576,368,368
6,1,577,369,369
6,1,578,369,371
6,1,579,374,372
6,1,580,374,374
6,1,581,374,375
6,1,582,376,375
6,1,583,376,376
6,1,584,376,376
6,1,585,376,376
6,1,586,376,376
6,1,587,376,376
6,1,588,376,376
6,1,589,376,376
6,1,590,376,376
6,1,591,376,375
6,1,592,373,374
6,1,593,373,374
6,1,594,374,373
6,1,595,374,371
6,1,596,367,370
6,1,597,367,369
6,1,598,371,369
6,1,599,371,371
6,1,600,369,370
6,1,601,369,367
6,1,602,364,366
6,1,603,364,364
6,1,604,365,361
6,1,605,357,360
6,1,606,357,359
6,1,607,359,357
6,1,608,359,357
6,1,609,354,356
6,1,610,354,355
6,1,611,356,355
6,1,612,356,355
6,1,613,354,355
6,1,614,354,354
6,1,615,353,353
6,1,616,353,354
6,1,617,355,354
6,1,618,355,355
6,1,619,354,356
6,1,620,358,357
6,1,621,358,357
6,1,622,357,358
6,1,623,357,358
6,1,624,360,359
6,1,625,360,361
6,1,626,363,362
6,1,627,363,362
6,1,628,362,363
6,1,629,362,366
6,1,630,371,367
6,1,631,371,366
6,1,632,362,366
6,1,633,362,367
6,1,634,374,369
6,1,635,374,372
6,1,636,369,372
6,1,637,371,371
6,1,638,371,373
6,1,639,377,375
6,1,640,377,374
6,1,641,371,374
6,1,642,371,372
6,1,643,374,372
6,1,644,374,374
6,1,645,375,375
6,1,646,375,376
6,1,647,376,376
6,1,648,376,374
6,1,649,372,374
6,1,650,372,374
6,1,651,376,374
6,1,652,376,374
6,1,653,371,373
6,1,654,371,370
6,1,655,368,369
6,1,656,368,368
6,1,657,370,366
6,1,658,362,365
6,1,659,362,363
6,1,660,362,361
6,1,661,362,361
6,1,662,359,360
6,1,663,359,359
6,1,664,357,357
6,1,665,357,357
6,1,666,356,356
6,1,667,356,355
6,1,668,354,355
6,1,669,354,354
6,1,670,353,353
6,1,671,353,354
6,1,672,355,354
6,1,673,355,354
6,1,674,354,355
6,1,675,354,356
6,1,676,360,358
6,1,677,360,361
6,1,678,363,360
6,1,679,359,361
6,1,680,359,365
6,1,681,374,368
6,1,682,374,370
6,1,683,365,370
6,1,684,365,367
6,1,685,370,368
6,1,686,370,372
6,1,687,376,374
6,1,688,376,373
6,1,689,370,373
6,1,690,370,372
6,1,691,376,374
6,1,692,376,376
6,1,693,378,378
6,1,694,378,378
6,1,695,377,377
6,1,696,377,378
6,1,697,375,375
6,1,698,375,370
6,1,699,359,364
6,1,700,359,360
6,1,701,359,356
6,1,702,357,358
6,1,703,357,362
6,1,704,369,364
6,1,705,369,366
6,1,706,362,365
6,1,707,362,362
6,1,708,361,360
6,1,709,361,359
6,1,710,356,358
6,1,711,356,358
6,1,712,359,357
6,1,713,359,357
6,1,714,354,356
6,1,715,354,354
6,1,716,354,353
6,1,717,354,354
6,1,718,355,355
6,1,719,357,356
6,1,720,357,356
6,1,721,356,357
6,1,722,356,359
6,1,723,364,361
6,1,724,364,363
6,1,725,363,364
6,1,726,363,364
6,1,727,367,366
6,1,728,367,369
6,1,729,373,371
6,1,730,373,373
6,1,731,373,374
6,1,732,373,373
6,1,733,374,374
6,1,734,374,375
6,1,735,377,375
6,1,736,375,376
6,1,737,375,376
6,1,738,376,376
6,1,739,376,376
6,1,740,377,377
6,1,741,377,376
6,1,742,375,376
6,1,743,375,375
6,1,744,374,374
6,1,745,374,373
6,1,746,371,372
6,1,747,371,370
6,1,748,368,369
6,1,749,368,370
6,1,750,370,369
6,1,751,370,366
6,1,752,359,364
6,1,753,359,361
6,1,754,363,359
6,1,755,358,359
6,1,756,358,357
6,1,757,354,355
6,1,758,354,355
6,1,759,355,354
6,1,760,355,355
6,1,761,354,354
6,1,762,354,354
6,1,763,354,354
6,1,764,354,355
6,1,765,356,355
6,1,766,356,355
6,1,767,357,357
6,1,768,357,360
6,1,769,365,362
6,1,770,365,361
6,1,771,356,360
6,1,772,356,360
6,1,773,366,364
6,1,774,370,368
6,1,775,370,369
6,1,776,366,368
6,1,777,366,368
6,1,778,373,370
6,1,779,373,373
6,1,780,375,375
6,1,781,375,374
6,1,782,374,375
6,1,783,374,375
6,1,784,376,375
6,1,785,376,376
6,1,786,376,376
6,1,787,376,377
6,1,788,377,377
6,1,789,377,376
6,1,790,373,374
6,1,791,372,373
6,1,792,372,374
6,1,793,374,373
6,1,794,374,369
6,1,795,361,366
6,1,796,361,364
6,1,797,367,363
6,1,798,367,365
6,1,799,361,363
6,1,800,361,359
6,1,801,355,357
6,1,802,355,357
6,1,803,360,358
6,1,804,360,358
6,1,805,356,358
6,1,806,356,357
6,1,807,360,355
6,1,808,355,357
6,1,809,355,362
6,1,810,371,365
6,1,811,371,366
6,1,812,361,366
6,1,813,361,362
6,1,814,366,364
6,1,815,366,370
6,1,816,376,373
6,1,817,376,371
6,1,818,365,370
6,1,819,365,369
6,1,820,375,371
6,1,821,375,374
6,1,822,374,375
6,1,823,374,375
6,1,824,376,375
6,1,825,376,374
6,1,826,371,373
6,1,827,371,372
6,1,828,374,373
6,1,829,372,372
6,1,830,372,370
6,1,831,365,367
6,1,832,365,368
6,1,833,369,367
6,1,834,369,366
6,1,835,360,363
6,1,836,360,359
6,1,837,357,357
6,1,838,357,358
